Year,Glob,NHem,SHem
1880,-19,-33,-5
1881,-10,-18,-2
1882,-9,-17,-1
1883,-19,-30,-8
1884,-27,-42,-12
1885,-31,-41,-21
1886,-30,-39,-21
1887,-33,-37,-28
1888,-20,-22,-17
1889,-11,-16,-6
1890,-36,-40,-33
1891,-23,-23,-24
1892,-26,-30,-21
1893,-29,-39,-19
1894,-30,-37,-23
1895,-21,-28,-14
1896,-14,-20,-8
1897,-11,-13,-9
1898,-28,-28,-29
1899,-16,-17,-15
1900,-8,-3,-13
1901,-13,-8,-19
1902,-26,-29,-23
1903,-35,-35,-35
1904,-44,-45,-42
1905,-27,-28,-26
1906,-21,-20,-23
1907,-39,-46,-31
1908,-42,-45,-39
1909,-47,-48,-46
1910,-42,-43,-41
1911,-44,-41,-47
1912,-35,-47,-22
1913,-33,-42,-25
1914,-15,-18,-13
1915,-10,-9,-11
1916,-33,-35,-30
1917,-39,-52,-26
1918,-24,-32,-17
1919,-21,-32,-10
1920,-25,-26,-24
1921,-19,-8,-31
1922,-26,-25,-27
1923,-22,-18,-27
1924,-26,-15,-38
1925,-19,-7,-30
1926,-8,4,-21
1927,-20,-10,-29
1928,-20,-7,-33
1929,-35,-30,-40
1930,-13,2,-29
1931,-9,5,-23
1932,-16,-3,-30
1933,-28,-24,-31
1934,-13,1,-27
1935,-19,-8,-29
1936,-14,-3,-26
1937,-1,13,-16
1938,-2,14,-18
1939,-3,7,-13
1940,8,14,3
1941,13,16,10
1942,10,14,6
1943,14,21,7
1944,26,28,24
1945,13,9,16
1946,-3,7,-12
1947,-3,5,-12
1948,-9,0,-18
1949,-9,-2,-16
1950,-18,-16,-19
1951,-7,5,-18
1952,1,5,-3
1953,8,22,-6
1954,-12,-4,-20
1955,-14,-9,-19
1956,-20,-25,-14
1957,3,4,3
1958,6,16,-5
1959,3,11,-4
1960,-3,8,-13
1961,5,8,3
1962,3,14,-9
1963,6,15,-3
1964,-20,-20,-21
1965,-10,-13,-7
1966,-5,0,-10
1967,-2,3,-8
1968,-7,-5,-9
1969,6,-2,14
1970,3,-3,9
1971,-9,-15,-3
1972,1,-18,20
1973,15,10,20
1974,-8,-19,4
1975,-1,-5,2
1976,-11,-21,-2
1977,18,12,24
1978,7,2,12
1979,17,8,26
1980,28,16,39
1981,33,39,27
1982,13,6,21
1983,31,26,35
1984,16,5,27
1985,12,0,25
1986,19,14,25
1987,34,27,41
1988,40,37,43
1989,29,29,29
1990,44,51,36
1991,42,41,44
1992,23,12,33
1993,24,20,29
1994,32,36,27
1995,46,58,34
1996,35,28,42
1997,48,53,42
1998,63,73,54
1999,42,52,32
2000,42,51,33
2001,55,64,46
2002,63,71,56
2003,62,72,52
2004,55,67,42
2005,69,84,55
2006,64,80,47
2007,66,83,49
2008,54,66,42
2009,65,71,59
2010,71,88,55
2011,60,71,50
2012,63,77,50
2013,66,76,56
2014,75,91,58